series_no,game_no,rating,color,opening,link,start,analysis,series,creator,move1,move2,move3,move4
15,1,1243,B,Sicilian,https://www.youtube.com/watch?v=8EZYSq6c_hg&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=15,0.00,,Back to 3000,Danya,,,,
15,2,,B,Accelerated Dragon,,6.40,22.48,Back to 3000,Danya,,,,
15,3,,W,Ruy Lopez,,8.50,24.31,Back to 3000,Danya,,,,
15,4,,W,1. e4 b6,,15.45,25.09,Back to 3000,Danya,1. e4 b6,,,
15,5,,B,Accelerated Dragon,,29.00,38.45,Back to 3000,Danya,,,,
16,1,1294,W,Philidor,https://www.youtube.com/watch?v=WM0vlYWi33I&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=16,0.00,,Back to 3000,Danya,,,,
16,2,,B,Accelerated Dragon,,10.50,,Back to 3000,Danya,,,,
16,3,,W,Elephant Gambit,,19.10,19.10,Back to 3000,Danya,,,,
17,1,1310,B,[bishop sac],https://www.youtube.com/watch?v=iwCO5bNiuNw&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=17,0.00,,Back to 3000,Danya,,,,
17,2,,W,Ruy Lopez,,12.15,,Back to 3000,Danya,,,,
17,3,,W,Advance Caro,,17.03,,Back to 3000,Danya,,,,
18,1,1370,W,Modern,https://www.youtube.com/watch?v=oH407-a1v-4&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=18,0.00,,Back to 3000,Danya,,,,
18,2,,B,King's Indian,,9.00,,Back to 3000,Danya,,,,
18,3,,B,King's Indian,,19.40,,Back to 3000,Danya,,,,
19,1,1380,W,Philidor,https://www.youtube.com/watch?v=xoS71OW-Re0&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=19,0.00,10.00,Back to 3000,Danya,,,,
19,2,,,Elephant Gambit,,13.00,,Back to 3000,Danya,,,,
19,3,,,Stafford Gambit,,25.00,,Back to 3000,Danya,,,,
20,1,1398,B,Accelerated Dragon,https://www.youtube.com/watch?v=lWVZLZdQHcY&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=20,0.00,17.33,Back to 3000,Danya,,,,
20,2,,W,Sicilian,,6.50,29.22,Back to 3000,Danya,,,,
21,1,1420,B,King's Indian,https://www.youtube.com/watch?v=cdEASsRLWcg&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=21,0.00,,Back to 3000,Danya,,,,
21,2,,,,,15.00,,Back to 3000,Danya,,,,
21,3,,B,Accelerated Dragon,,22.00,,Back to 3000,Danya,,,,
21,4,,W,Scandinavian,,33.50,,Back to 3000,Danya,,,,
22,1,1451,B,King's Indian,https://www.youtube.com/watch?v=J6MDnL_B83w&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=22,0.00,,Back to 3000,Danya,,,,
22,2,,B,Accelerated Dragon,,14.45,,Back to 3000,Danya,,,,
23,1,1469,W,Philidor,https://www.youtube.com/watch?v=OwrIaWwPJvM&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=23,0.00,,Back to 3000,Danya,,,,
23,2,,,Sicilian,,11.30,,Back to 3000,Danya,,,,
24,1,1489,B,Bird,https://www.youtube.com/watch?v=U8zArIhxato&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=24,0.00,,Back to 3000,Danya,,,,
24,2,,W,Italian,,4.50,,Back to 3000,Danya,,,,
24,3,,W,Open Sicilian,,10.15,19.15,Back to 3000,Danya,,,,
24,4,,B,Accelerated Dragon,,20.50,30.20,Back to 3000,Danya,,,,
25,1,1527,B,Accelerated Dragon,https://www.youtube.com/watch?v=ii1vl5wLPWU&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=25,0.00,10.40,Back to 3000,Danya,,,,
25,2,,W,Italian,,16.55,,Back to 3000,Danya,,,,
25,3,,W,Pirc,,24.40,,Back to 3000,Danya,,,,
26,1,1562,B,Italian,https://www.youtube.com/watch?v=FqVMAv3wKes&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=26,1.30,,Back to 3000,Danya,,,,
26,2,,B,Ruy Lopez,,13.50,,Back to 3000,Danya,,,,
26,3,,W,Scandinavian,,25.30,,Back to 3000,Danya,,,,
27,1,1592,B,Alapin Sicilian,https://www.youtube.com/watch?v=qW-mT-FbLnA&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=27,0.00,,Back to 3000,Danya,,,,
27,2,,W,Nimzo / Scandi,,15.50,,Back to 3000,Danya,,,,
28,1,1608,W,Pirc,https://www.youtube.com/watch?v=OkjaIVnXg9o&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=28,0.00,,Back to 3000,Danya,,,,
28,2,,B,London,,19.03,,Back to 3000,Danya,,,,
29,1,1620,B,Sicilian,https://www.youtube.com/watch?v=WwRujiYpgq0&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=29,0.00,,Back to 3000,Danya,,,,
29,2,,B,Sicilian,,15.40,,Back to 3000,Danya,,,,
29,3,1643,W,Pirc,https://www.youtube.com/watch?v=ZlIq20_wnho&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=30,0.00,,Back to 3000,Danya,,,,
30,1,,B,Sicilian,,11.00,,Back to 3000,Danya,,,,
30,2,,B,Sicilian,,20.00,,Back to 3000,Danya,,,,
31,1,1684,W,Scandinavian,https://www.youtube.com/watch?v=iQQDU3H7vaU&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=31,0.00,,Back to 3000,Danya,,,,
31,2,,W,1. e4 e6 2. d4 c6,,8.55,,Back to 3000,Danya,1. e4 e6,2. d4 c6,,
31,3,,B,Sicilian,,20.00,,Back to 3000,Danya,,,,
32,1,1700,W,Exchange Caro Kann,https://www.youtube.com/watch?v=woqgGKERnps&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=32,0.00,,Back to 3000,Danya,,,,
32,2,,W,Modern,,18.00,,Back to 3000,Danya,,,,
