series_no,game_no,rating,color,opening,link,start,analysis,series,creator,move1,move2,move3,move4
26,2,,B,Ruy Lopez,,13.5,,Back to 3000,Danya,,,,
26,3,,W,Scandinavian,,25.3,,Back to 3000,Danya,,,,
27,1,1592.0,B,Alapin Sicilian,https://www.youtube.com/watch?v=qW-mT-FbLnA&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=27,0.0,,Back to 3000,Danya,,,,
27,2,,W,Nimzo / Scandi,,15.5,,Back to 3000,Danya,,,,
28,1,1608.0,W,Pirc,https://www.youtube.com/watch?v=OkjaIVnXg9o&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=28,0.0,,Back to 3000,Danya,,,,
28,2,,B,London,,19.03,,Back to 3000,Danya,,,,
29,1,1620.0,B,Sicilian,https://www.youtube.com/watch?v=WwRujiYpgq0&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=29,0.0,,Back to 3000,Danya,,,,
29,2,,B,Sicilian,,15.4,,Back to 3000,Danya,,,,
29,3,1643.0,W,Pirc,https://www.youtube.com/watch?v=ZlIq20_wnho&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=30,0.0,,Back to 3000,Danya,,,,
30,1,,B,Sicilian,,11.0,,Back to 3000,Danya,,,,
30,2,,B,Sicilian,,20.0,,Back to 3000,Danya,,,,
31,1,1684.0,W,Scandinavian,https://www.youtube.com/watch?v=iQQDU3H7vaU&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=31,0.0,,Back to 3000,Danya,,,,
31,2,,W,1. e4 e6 2. d4 c6,,8.55,,Back to 3000,Danya,1. e4 e6,2. d4 c6,,
31,3,,B,Sicilian,,20.0,,Back to 3000,Danya,,,,
32,1,1700.0,W,Exchange Caro Kann,https://www.youtube.com/watch?v=woqgGKERnps&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=32,0.0,,Back to 3000,Danya,,,,
32,2,,W,Modern,,18.0,,Back to 3000,Danya,,,,
32,3,,W,Sicilian,,34.0,,Back to 3000,Danya,,,,
33,1,1720.0,W,Benoni,https://www.youtube.com/watch?v=FPI9J8_LmJQ&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=33,0.0,,Back to 3000,Danya,,,,
33,2,,W,London / Dutch,,19.0,,Back to 3000,Danya,,,,
34,1,1745.0,B,King's Indian,https://www.youtube.com/watch?v=wdHXvOBC8bw&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=34,0.0,,Back to 3000,Danya,,,,
34,2,,B,Ponziani,,11.0,,Back to 3000,Danya,,,,
34,3,,B,Accelerated Dragon,,23.15,,Back to 3000,Danya,,,,
35,1,1800.0,W,Pirc,https://www.youtube.com/watch?v=n781_V5I0ac&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=35,0.0,,Back to 3000,Danya,,,,
35,2,,W,Modern,,9.52,,Back to 3000,Danya,,,,
35,3,,B,London / King's Indian,,19.03,,Back to 3000,Danya,,,,
36,1,1830.0,W,Alapin Sicilian,https://www.youtube.com/watch?v=9Iu56-1zzfI&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=36,0.0,,Back to 3000,Danya,,,,
36,2,,,1. e4 c6 2. e5 d6,,12.18,,Back to 3000,Danya,1. e4 c6 ,2. e5 d6,,
37,1,1853.0,W,Englund,https://www.youtube.com/watch?v=hyAhvdIvtzQ&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=37,0.0,,Back to 3000,Danya,,,,
37,2,,B,King's Indian,,15.14,,Back to 3000,Danya,,,,
38,1,1870.0,B,Smith-Morra Declined,https://www.youtube.com/watch?v=3UqPa5eV2e0&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=38,0.0,,Back to 3000,Danya,,,,
38,2,,W,1. e4 d6 2. e5 c6,,16.3,,Back to 3000,Danya,1. e4 d6 ,2. e5 c6,,
39,1,1900.0,W,Scandinavian,https://www.youtube.com/watch?v=bIxvPbhuTpo&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=39,0.0,,Back to 3000,Danya,,,,
39,2,,B,Alapin Sicilian,,13.2,,Back to 3000,Danya,,,,
40,1,1918.0,B,King's Indian,https://www.youtube.com/watch?v=7uxRcomJo7I&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=40,0.0,,Back to 3000,Danya,,,,
40,2,,B,Modern,,19.45,,Back to 3000,Danya,,,,
41,1,1936.0,W,Alapin Sicilian,https://www.youtube.com/watch?v=VEwKZo8l7yY&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=41,0.0,,Back to 3000,Danya,,,,
